치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립연월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
진해보건소 치매안심센터,치매안심센터,경상남도 창원시 진해구 중원동로 62,경상남도 창원시 진해구 중앙동 11-1,35.149898,128.661939,2022-05,645,,1,6,3,4,진해보건소 서부보건지소,오막엽,055-225-6692,,"치매인지재활, 치매가족모임",055-225-6692,경상남도 창원시청,2022-06-09,5670000,경상남도 창원시
김천시치매안심센터,치매안심센터,경상북도 김천시 체육공원길 21,경상북도 김천시 지좌동 440-128,36.11973266,128.1445272,2019-02,,,1,10,5,임상병리사(1)+작업치료사(6)+환경정비사(1),김천시치매안심센터,장재근,054-421-2960,,치매조기검진사업 및 치매치료관리비지원사업 등,054-421-2700,경상북도 김천시 보건소,2022-05-31,5060000,경상북도 김천시
양주시 치매안심센터,치매안심센터,경기도 양주시 화합로1426번길 90,경기도 양주시 덕정동 206,37.83814235,127.0680351,2022-05,605,쉼터+가족카페+원예치료실등,2,10,1,1,양주시보건소,이재환,031-8082-7147,2019-05-15,"치매조기검진, 치매예방프로그램, 치매환자 쉼터, 치매가족지원사업, 치매약제비 지원, 조호용품등 지원",031-8082-7100,경기도 양주시청 건강증진과 건강증진과,2022-05-31,5590000,경기도 양주시
강화군치매안심센터,치매안심센터,인천광역시 강화군 강화읍 충렬사로 26-1,인천광역시 강화군 남산리 324-1,37.7372303913,126.4847095405,2019-10,485.9,사무실(2)+프로그램실(2)+검사실(1)+가족카페(1)+대기실(1),1,2,5,11,강화군보건소,이강미,032-930-4057,,치매 무료 상담 및 무료치매검사 등,032-930-4001,인천광역시 강화군청,2020-09-18,3570000,인천광역시 강화군
용인시처인구치매안심센터,치매안심센터,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.142626,127.103303,2007-08,281,사무실(1)+가족카페(1)+치료실(1)+검진실(1)+쉼터(1)+채움(1)+공감(1),1,7,2,작업치료사(2)+기타직군(3),경기도 용인시 처인구보건소,조순구,031-324-2700,,"무료치매검사, 치매예방프로그램 운영, 치매환자 및 가족프로그램 운영, 치매인식개선 사업 등",031-324-4473,처인구보건소,2019-04-10,4050000,경기도 용인시
용인시기흥구치매안심센터,치매안심센터,경기도 용인시 기흥구 신갈로58번길 11,경기도 용인시 기흥구 신갈동 60-3,37.272532,127.1070208,2018-09,321.5,사무실(1)+프로그램실(4)+상담실(1)+검진실(1),1,14,3,작업치료사 (5),경기도 용인시 기흥구보건소,양정원,031-324-6981,,"치매예방교실, 치매가족카페, 치매진단검사, 치매가족교실",031-324-6981,기흥구보건소,2019-04-10,4050000,경기도 용인시
용인시수지구치매안심센터,치매안심센터,"경기도 용인시 수지구 문정로20, 3층",,37.32263908,127.0962383,2018-11,588.46,사무실 (2)+교육실(3)+카페(1)+상담실(2)+진료실(2)+창고(2)+쉼터(1),1,13,4,작업치료사 (4) + 물리치료사(1) + 기타(1),용인시수지구보건소,이성순,031-324-8516,,"상담 및 등록관리사업, 치매조기검진 및 예방관리사업, 치매환자쉼터 운영사업, 치매가족 지원사업, 치매인식개선 및 교육 홍보사업, 치매안심마을 운영",031-324-8516,수지구보건소,2019-04-10,4050000,경기도 용인시
홍천군치매안심센터,치매안심센터,강원도 홍천군 홍천읍 신장대로5,강원도 홍천군 홍천읍 희망리,37.690212,127.876923,2017-12,,"사무실, 교육실,상담실",0,5,2,5,홍천군보건소,박보현,033-430-4033,,"치매조기검진, 등록,원격진료, 쉼터,가족모임,예방프로그램운영 등",033-430-4055,홍천군보건소,2019-04-23,4250000,강원도 홍천군
울주치매안심센터,치매안심센터,울산광역시 울주군 웅촌면 은현작동로 49,,35.4569102,129.1768128,2018-05,300.78,검진실(1)+상담실(2)+단기쉼터(1)+기억쉼터(1)+가족카페(1)+사무실(1)+교육실(1)+한방실(1)+강당(1)+운동치료실(1),1,10,2,작업치료사(2)+센터장(1)+담당(1),울주군보건소,최우영,052-204-2878,,"치매조기검진 및 진단검사, 치매안심마을 운영, 치매공공후견사업, 치매 상담 및 등록,  단기쉼터 운영, 치매예방프로그램 운영, 치매인식개선홍보 등",052-204-2798,울산광역시 울주군보건소,2021-09-30,6310000,울산광역시
평창군치매안심센터,치매안심센터,강원도 평창군 평창읍 종부로 61,강원도 평창군 평창읍 종부리 504,37.36049168,128.388852,2017-12,472,,0,4,6,3,평창군보건의료원,평창군수,033-330-4900,,"치매환자 쉼터프로그램, 치매가족헤아림프로그램, 치매예방인지재활프로그램, 치매재가환자방문인지재활프로그램",033-330-4830,평창군보건의료원,2021-09-15,4280000,강원도 평창군
김포시치매안심센터,치매안심센터,경기도 김포시 사우중로73번길 52(래미안프라자 4층),경기도 김포시 북변동 817(래미안프라자 4층),37.623046,126.7211346,2021-05,698.27,,2,10,1,"작업치료사2명, 기타1",김포시치매안심센터,최문갑,031-980-5032,,"1.치매선별검사, 2. 치매예방 및 인지저하 프로그램 운영, 3. 치매안심마을 운영, 4. 치매극복 선도학교 운영",031-980-5032,김포시보건소,2021-09-29,4090000,경기도 김포시
담양군치매안심센터,치매안심센터,전라남도 담양군 담양읍 완동길 10-5,전라남도 담양군 담양읍 만성리 116-1,35.32470339,126.9807889,2021-02,613.81,사무실+휴게실+진단실+치매쉼터+프로그램실+정신진단실+정신가족쉼터+창고+화장실1+화장실2+엘리베이터+홀/복도,1,7,3,5,담양군치매안심센터,김순복,061-380-3986,,치매상담 및 등록관리사업+일반조기검진사업+치매치료관리비지원+치매환자조호물품제공+배회가능어르신인식표발급+인지강화프로그램운영+치매예방교육운영+치매예방교실운영+치매환자쉼터프로그램운영+헤아림가족교실운영+치매파트너양성+치매극복선도단체양성+치매환자맞춤형사례관리사업,061-380-3968,담양군청,2021-09-29,4850000,전라남도 담양군
광양시 치매안심센터,치매안심센터,전라남도 광양시 광양읍 호북길 13-3,전라남도 광양시 광양읍 칠성리 898-3,34.980119,127.583648,2018-11,593,"검진실,프로그램실,까페,사무실,창고",1,6,1,,광양시보건소,이정희,061-797-4059,,"치매조기검진,치매가족자조모임,사례관리,인지강화프로그램",061-797-4122,광양시보건소,2021-09-28,4840000,전라남도 광양시
용산구치매안심센터,치매안심센터,서울특별시 용산구 녹사평대로 150,,37.5324394,126.9904783,2009-10,574.82,사무실(1)+교육실(1)+프로그램실(3)+신체계측실(1)+검진실(3)+진료실(1)+센터장실(1)+가족카페(1)+기억키움학교(1),1,9,5,작업치료사(3)+음악치료사(1),순천향대학교 서울병원,김성구,02-790-1541,2009-10-19,"조기검진사업, 치매환자등록관리사업, 치매환자쉼터 운영사업, 가족모임운영, 교육 및 인지프로그램운영, 치매예방관리사업, 홍보사업, 치매파트너 양성, 지역자원강화사업 등",02-2199-8082,용산구보건소,2021-09-15,3020000,서울특별시 용산구
동작구치매안심센터,치매안심센터,서울특별시 동작구 남부순환로 2025,서울특별시 동작구 사당동 1049-11,37.47643044,126.9736106,2009-08,922.8,"검진실, 프로그램실, 쉼터, 상담실 등",1,9,3,7,서울특별시 보라매병원,정승용,02-598-6088,2009-08-27,"치매환자 상담 및 등록관리, 치매조기검진, 치매예방관리, 치매환자쉼터운영, 치매가족지원, 치매인식개선및교육홍보, 치매안심마을운영",02-820-9443,서울특별시 동작구보건소,2021-09-28,3190000,서울특별시 동작구
장흥군보건소 치매안심센터,치매안심센터,전라남도 장흥군 장흥읍 동교1길 13,전라남도 장흥군 장흥읍 건산리 752-1,34.6770039,126.907038,2018-12,,"사무실, 상담실, 검진실, 프로그램실, 치매카페, 쉼터",0,3,3,3(작업치료사),장흥군보건소,박옥란,061-860-6498,,"치매예방 및 인식개선(교육, 홍보, 선도기관, 파트너양성)치매조기검진(선별, 진단,정밀)치매예방등록사업(상담 및 사례관리, 환자 및 가족 지원, 인지강화 프로그램, 에방교실), 치매안심마을 운영, 치매쉼터, 치매실종예방사업, 치매치료비 지원, 치매조호물품지원,치매지역사회 지원강화, 치매통합관리 정보시스템 구축 운영",061-860-6498,장흥군보건소,2021-09-29,4910000,전라남도 장흥군
봉화군치매안심센터,치매안심센터,경상북도 봉화군 봉화읍 봉화로 1203,경상북도 봉화군 봉화읍 내성리 285,36.89071878,128.7418543,2021-12,,치매환자쉼터(1)+보건지소치매환자쉼터(3)+치매가족카페(1)+프로그램실(1),2,5,3,"작업치료사(4),임상심리사(1)",봉화군 보건소,손병규,054-679-6791,,"치매상담 및 등록, 치매 조기검진, 치매환자 조호물품 지원, 치매환자 배회감지기 지원, 치매치료관리비 지원, 치매환자 맞춤형 사례관리, 치매환자쉼터(봉화,춘양,재산,명호) 운영, 치매보듬마을 조성사업, 치매인식개선 교육 및 홍보, 치매선도학교 및 서포터즈 운영, 치매보듬쉼터 운영, 치매예방 인지강화프로그램 운영, 치매안심병원 성과기반 인센티브 제공 시범사업 운영, 산림농업 치유프로그램 연계사업 운영",,경상북도 봉화군청,2021-10-17,5240000,경상북도 봉화군
여수시치매안심센터,치매안심센터,전라남도 여수시 신월로 794,전라남도 여수시 봉강동 323-11,34.73915914,127.7260493,2021-06,876.7,,0,16,4,9,여수시,이주리,061-659-5440,2019-06-12,"등록관리, 프로그램 운영 등",061-659-5440,전라남도 여수시,2021-10-15,6460000,전라남도
순천시치매안심센터,치매안심센터,전라남도 순천시 중앙로 232,전라남도 순천시 석현동 35-7,34.96667705,127.4860726,2021-09,738.8,,0,11,2,2,순천시,조영익,061-749-8888,2019-09-17,"치매선별검사, 인지재활프로그램 등",061-749-8888,전라남도 순천시,2021-10-15,6460000,전라남도
김제시 치매안심센터,치매안심센터,전라북도 김제시 성산길 138,전라북도 김제시 요촌동 423-2,35.8008084008,126.883339,2017-12,841.8,없음,1,7,2,작업치료사1임상심리사1기타보건인력6,김제시 보건소,김형희,063-540-4978,,인지재활프로그램인지강화프로그램쉼터카페제공치매치료비지원치매선별검사 및 진단검사 등,063-540-2743,김제시 보건소치매재활과,2019-04-18,4710000,전라북도 김제시
공주시치매안심센터,치매안심센터,충청남도 공주시 봉황로 123 공주시보건소 1층,충청남도 공주시 교동 120 공주시보건소 1층,36.4572932,127.1208348,2018-03,210,"상담실, 검진실, 쉼터, 가족카페",2,10,2,"작업치료사1, 임상심리사2, 담당 공무원2",공주시보건소,공주시보건소장(김대식),041-840-8811,2018-03-21,"1. 치매조기검진2. 치매노인 지문등록3. 치매치료관리비 지원4. 조호물품(위생물품) 제공5. 치매예방교실6. 인지강화교실7. 인지재활프로그램8. 기타 인지자극 프로그램9. 헤아림 가족교실10. 치매가족 힐링 프로그램11. 치매공공후견 사업12. 치매어르신주간보호소 운영(위탁)13. 치매안심마을 운영14. 치매인식 개선 및 교육, 홍보 사업15. 배회가능 어르신 인식표 발급 및 GPS 운영",041-840-8527,공주시보건소,2019-09-25,4500000,충청남도 공주시
세종특별자치시 치매안심센터(조치원),치매안심센터,세종특별자치시 조치원읍 수원지1길 16,,36.6072550614,127.300019556,2019-01,439,"사무실,프로그램실, 상담실",0,4,2,2,세종특별자치시보건소,권근용,044-301-2000,,"치매검진, 상담, 쉼터, 가족교실 프로그램 등 운영(기초)",044-301-2000,세종특별자치시보건소,2019-08-13,5690000,세종특별자치시
세종특별자치시 치매안심센터(어진동),치매안심센터,세종특별자치시 다솜1로 31,,36.5019041611,127.256616339,2019-06,439,"사무실,프로그램실,상담실, 검진실",0,4,2,1,세종특별자치시보건소,권근용,044-301-2000,,"치매검진, 상담, 쉼터, 가족교실 프로그램 등 운영(기초)",044-301-2000,세종특별자치시보건소,2019-08-13,5690000,세종특별자치시
세종특별자치시광역치매센터,광역치매센터,세종특별자치시 조치원읍 수원지1길 16,,36.6072550614,127.300019556,2017-03,439,"사무실,소회의실, 상담실, 대회의실, 체험관",1,2,2,2,충남대학교병원,김정란,044-861-8540,2016-12-02,"치매기획, 연구, 교육, 기술지원사업(광역)",044-300-5715,세종특별자치시청,2019-08-13,5690000,세종특별자치시
증평군치매안신셈터,치매안심센터,충청북도 증평군 증평읍 보건복지로 64-1,충청북도 증평군 증평읍 내성리 57-2,36.77424904,127.5867247,2018-08,117.7,,0,3,3,2,증평군보건소,연영미,043-835-4242,,"치매 기억력 검진, 치매환자 인지재활 프로그램, 치매환자 가족교실, 자조모임, 치매 예방교육, 치매안심마을 조성 등",043-835-4242,증평군보건소,2019-09-18,5570000,충청북도 증평군
구리시 치매안심센터,치매안심센터,"경기도 구리시 건원대로 34번길 84, 구리시보건소 4층",경기도 구리시 인창동 674-3,37.60477675,127.1450794,2021-03,330,,1,4,0,10,구리시보건소,최애경,031-550-8613,,"치매쉼터 운영, 치매조기검진, 치매조기검진, 인지재활프로그램 운영, 가족카페 운영",031-550-8311,구리시청,2021-07-26,3980000,경기도 구리시
치매안심센터,치매안심센터,충청남도 서천군 서천읍 사곡길 20-2,충청남도 서천군 서천읍 군사리 803,36.0817289,126.6887353,2017-11,906,사무실(1)+강당(1)+카페(1)+프로그램실(2),0,4,1,작업치료사(1),서천군보건소,김재연,041-950-6741,,"치매조기검진, 치매환자가족지원",041-950-4055,충청남도 서천군청,2021-07-12,4580000,충청남도 서천군
부여군 치매안심센터,치매안심센터,"충청남도 부여군 부여읍 성왕로 205, 부여군보건소 3층",충청남도 부여군 부여읍 구아리 136,36.283203,126.909461,2018-07,500,사무실(1)+검진실(1)+상담실(1)+프로그램실(3)+가족카페(1)+로비(1)+사랑방(1),1,7,3,작업치료사(1),충청남도 부여군보건소,김갑수,041-830-8735,,"치매노인 등록 및 관리, 치매노인 및 보호자에 대한 상담, 지원, 치매조기검진, 치매치료관리비 지원 및 치매환자 사례관리, 치매인지재활 프로그램, 치매가족교실 및 자조모임 등",041-830-8600,충청남도 부여군보건소,2021-07-15,4570000,충청남도 부여군
오산시치매안심센터,치매안심센터,경기도 오산시 경기동로59,경기도 오산시 오산동 25,37.159323,127.0778335,2018-07,320,사무실(1)+로비(1)+상담검진실(1)+쉼터(1)+프로그램실(1)+가족카페(1),1,8,1,임상심리사(2)+작업치료사(4)+행정(2),오산시보건소,고동훈,031-8036-6251,,"치매환자 등록관리, 치매조기검사, 치매극복의날 기념행사, 치매예방프로그램, 인지재활프로그램, 가족헤아림교실, 치매안심마을운영 등",031-8036-8036,오산시청,2021-07-06,4000000,경기도 오산시
사상구치매안심센터,치매안심센터,부산광역시 사상구 학감대로 242(감전동),부산광역시 사상구 감전동 138-8,35.15254918,128.9914565,2021-09,624.48,"사무실, 상담실, 진단실, 배움터, 쉼터, 가족교실, 가족카페",4,8,5,5,부산광역시 사상구보건소,안여현,051-310-3363,,"치매환자 등록 관리, 중증치매노인공공후견, 사례관리, 치매치료관리비 지원, 치매조기검진, 치매환자 쉼터 및 가족지원, 치매 인식 개선을 위한 홍보 캠페인 등",051-310-3363,부산광역시 사상구 사상구보건소,2021-06-30,3390000,부산광역시 사상구
고흥군 치매안심센터,치매안심센터,전라남도 고흥군 고흥읍 등암3길 5,전라남도 고흥군 고흥읍 등암리 1258-21,34.5919855,127.2692469,2021-12,330,"사무실, 프로그램실",0,4,1,2,고흥군보건소,이금임,061-830-6638,2018-01-02,치매검진 및 예방 교육 가족교실 및 인지강화교실 운영,061-830-6638,고흥군보건소,2021-10-19,4880000,전라남도 고흥군
구미시선산치매안심센터,치매안심센터,경상북도 구미시 선산읍 선주로 121,경상북도 구미시 선산읍 동부리 544-1,36.2441790368,128.2999490751,2019-01,272.38,사무실(1)+진료실(1)+프로그램실(1)+강당(1)+검사실(2)+가족카페(1),1,7,2,2,선산보건소,최현주,054-480-4351,,"무료치매검사, 환자쉼터, 인지강화교실운영, 치매 극복의 날 기념행사, 치매 홍보서포터즈 운영 등",054-880-3797,경상북도청,2021-06-28,5080000,경상북도 구미시
광진구치매안심센터,치매안심센터,서울특별시 광진구 긴고랑로 110 중곡종합건강센터 3층,서울특별시 광진구 중곡동 125-11 중곡종합건강센터 3층,37.55933917,127.0870892,2009-03,328.43,"사무실(1), 상담실(1), 검진실(2), 센터장실(1), 교육실(1), 인지프로그램실(1), 휴게실(1), 다용도실(1), 화장실(1)",1,7,3,5,건국대학교병원,문연실,02-450-1381,2009-02-01,"치매조기검진, 맞춤형 인지프로그램 운영, 사례관리, 조호물품 지원, 치매치료비지원, 치매공공후견사업, 기억키움쉼터 및 가족카페 운영",02-450-1966,광진구보건소,2021-06-23,3040000,서울특별시 광진구
부안군 치매센터,치매안심센터,전라북도 부안군 부안읍 오리정로 124,,35.72283463,126.7355916,2019-06,214.98,사무실(1)+프로그램실(1)+쉼터(1)+검진실(2)+상담실(1),0,7,3,심리상담사(1)+작업치료사(1),부안군 보건소,박현자,063-580-3066,,"무료치매검사, 진단검사 치매극복의 날 기념행사, 쉼터 운영등",,부안군청,2021-06-21,4790000,전라북도 부안군
영천시치매안심센터,치매안심센터,경상북도 영천시 옛군청 1길 31,경상북도 영천시 문내동 152-1,35.9687454982,128.9324014266,2018-11,614.39,"사무실, 진료실, 검진실, 상담실, 카페, 프로그램실",2,8,2,4,영천시보건소,최수영,054-339-7817,,"치매선별검사, 치매예방홍보, 치매서포터즈운영, 치매진단검사, 인지재활프로그램 운영, 치매치료관리비 지원, 치매대상자 사례관리, 치매대상자 실종예방 배회인식표 발급 및 지문등록",054-339-7817,영천시보건소,2021-06-16,5100000,경상북도 영천시
경기도 평택보건소,치매안심센터,"경기도 평택시 중앙1로56번길 25, 2층",경기도 평택시 비전동 631,36.99625263,127.0891929,2019-02,657,"사무실,프로그램실,상담실,교육실,가족카페 등",5,3,0,"센터장1, 팀장2, 작업치료사5, 임상심리사1",경기도 평택시청 평택보건소,평택보건소장,031-8024-4405,,"치매조기검진사업, 치매예방교육 및 인지재활, 가족프로그램 운영 등",031-8024-4405,경기도 평택시청 평택보건소,2021-08-10,3910000,경기도 평택시
경기도 송탄보건소,치매안심센터,경기도 평택시 경기대로 1366,경기도 평택시 서정동 800,37.06580985,127.065044,2017-12,778,"사무실(2),프로그램실(6), 가족카페 등",7,3,0,"센터장1, 부센터장1, 팀장1, 작업치료사1, 행정1",경기도 평택시청 송탄보건소,송탄보건소장,031-8024-7300,,"치매조기검사사업, 치매예방교육 및 인지재활, 가족프로그램 운영 등",031-8024-7300,경기도 평택시청 송탄보건소,2021-08-10,3910000,경기도 평택시
영광군치매안심센터,치매안심센터,전라남도 영광군 영광읍 신남로4길 17,전라남도 영광군 영광읍 남천리 326,35.274681,126.504163,2021-03,298,안내실(1)+상담실(2)+쉼터(1)+가족모임터(1)+작업치료실(1)+회의실(1)+사무실(1)+진료실(2)+교육실(1)+프로그램실(1),1,6,3,3,영광군보건소,홍성후,061-350-4806,,"치매예방교실, 인지강화교실, 쉼터운영,  치매환자가족모임및 지원등",061-350-5552,영광군,2021-08-06,4970000,전라남도 영광군
전라남도광역치매센터,광역치매센터,전라남도 순천시 순광로 221,전라남도 순천시 조례동 1742,34.96375005,127.542936,2021-10,465,,1,1,5,2,전라남도,김영록,061-286-6041,2021-01-01,"치매관련 자원 발굴, 치매 연구·통계",061-726-6981,성가롤로병원,2021-10-15,6460000,전라남도
목포시치매안심센터,치매안심센터,"전라남도 목포시 수문로 32, 트윈스타 3층 목포시치매안심센터(남교동)",전라남도 목포시 남교동 164,34.7931322,126.3829337,2021-04,1048,,0,10,3,7,목포시,박호빈,061-270-4271,2018-04-13,"등록관리, 프로그램 운영 등",061-270-4271,전라남도 목포시,2021-10-15,6460000,전라남도
아산시치매안심센터,치매안심센터,충청남도 아산시 번영로 216번길 18,충청남도 아산시 모종동 574-1,36.78291637,127.0140673,2018-11,720,"쉼터, 가족카페",0,13,0,5,아산시,구본조,041-537-3474,,"쉼터운영(인지재활,인지강화,치매예방프로그램)",041-537-3474,아산시,2020-06-05,4520000,충청남도 아산시
영양군치매안심센터,치매안심센터,"경상북도 영양군 영양읍 동서대로 82, 3층 치매안심센터",경상북도 영양군 영양읍 동부리 164-1,36.66194441,129.1180656,2019-10,372.03,"사무실, 프로그램실, 검진실, 진단실, 화장실(3),상담실, 가족카페,창고",0,5,2,1,영양군보건소,장여진,054-680-5100,2019-10-14,"치매조기검진 및 등록사업, 사례관리, 치매치료관리비 지원, 조호물품제공, 치매환자쉼터 및 가족카페 운영, 치매인식개선 및 교육홍보, 치매어르신 실종예방 사업 등",054-680-5114,영양군보건소,2020-12-26,5170000,경상북도 영양군
부평구치매안심센터,치매안심센터,인천광역시 부평구 부흥로291 보건소4층,인천광역시 부평구 부평4동 442-1,37.498858,126.724244,2016-09,207,사무실(1)+프로그램실(1)+상담실(2),1,24,1,3,인천광역시 부평구보건소,박영애,032-509-1308,,"치매조기선별검진,진단검사,인지건강프로그램운영등",032-509-1308,인천광역시 부평구보건소,2021-07-14,3540000,인천광역시 부평구
부천시치매안심센터,치매안심센터,경기도 부천시 길주로 410,경기도 부천시 춘의동 163-7,37.503631207,126.788020328,2019-12,98.72,,2,14,3,2,부천시보건소,이선숙,032-625-4423,,"치매환자의 등록·관리,  치매의 예방·교육 및 홍보, 치매조기검진",032-625-4423,경기도 부천시청,2021-07-29,3860000,경기도 부천시
함평군보건소,치매안심센터,전라남도 함평군 함평읍 중앙길 54-8,전라남도 함평군 함평읍 기각리 253,35.061896,126.524248,2020-11,382,"사무실(1), 검진실(2), 상담실(1), 가족카페(1), 프로그램실(2)",0,9,1,2,함평군보건소,정명희,061-320-2390,,"치매조기검진, 치매예방교실, 인지향상프로그램,  치매치료관리비지원, 치매환자등록관리, 실종예방사업 등",061-320-2518,함평군보건소,2021-07-14,4960000,전라남도 함평군
종로구 치매안심센터,치매안심센터,서울특별시 종로구 평창문화로 50,서울특별시 종로구 평창동 235-2,37.60542184,126.9669268,2021-06,475.52,사무실(1)+가족카페(1)+기억키움학교(1)+프로그램실(1)+진료실(1)+검진실(2)+강당(1)+서고(1)+화장실(4),1,4,4,팀장(1)+작업치료사(4)+운동사(1)+임상심리사(1),서울대학교병원,박지은,02-3675-9001,2021-01-01,"치매예방 및 인식개선사업,치매조기검진 사업,치매예방등록관리 사업,저소득층 치매치료비 및 원인확진검사비 지원 사업,치매지역사회자원강화 사업 등",02-2148-3603,서울특별시 종로구보건소,2021-07-07,3000000,서울특별시 종로구
울산광역시 동구보건소 치매안심센터,치매안심센터,울산광역시 동구 봉수로 155,울산광역시 동구 화정동 222,35.5050697141,129.4164300357,2018-08,615.32,"진단실(2),쉼터,교육실,음악실,감성실,요리실",1,5,2,작업치료사 3명,울산광역시 동구보건소,신수진,052-209-4060,,"쉼터 운영,인지강화 및 인지재활 프로그램,힐링프로그램,자조모임",052-209-4060,울산광역시 동구보건소,2021-09-30,6310000,울산광역시
울산광역시남구치매안심센터,치매안심센터,울산광역시 남구 삼산중로 132,울산광역시 남구 삼산동 1538-4,35.54535759,129.3363268,2019-03,997.14,사무실(1)+검진실(1)+상담실(3)+심리안정실(1)+인지체험관(1)+쉼터(1)+교육실(1),1,15,1,"임상심리사 1, 작업치료사 3",남구보건소,박혜경,052-226-2323,,"상담 및 등록관리사업,조기검진사업,쉼터운영사업,가족지원사업,치매인식개선홍보사업",052-226-2451,울산광역시 남구보건소,2021-09-30,6310000,울산광역시
울산중구치매안심센터,치매안심센터,울산광역시 중구 외솔큰길 225,울산광역시 중구 남외동 603-2,35.5694483,129.3504562,2020-10,259.9,사무실(1)+상담실(2)+교육실(1)+프로그램실(1)+가족카페(1)+검진실(1),0,10,1,작업치료사(2),울산광역시 중구보건소,황병훈,052-290-4366,,"무료치매선별검사, 치매예방 인지건강프로그램, 치매예방 가족교육 등",052-290-4362,울산광역시 중구 보건소,2021-09-30,6310000,울산광역시
연천군치매안심센터,치매안심센터,경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36,38.02353445,127.0609628,2021-07,450,사무실(1)+프로그램실(1)+검사실(2)+상담실(1)+쉼터(1)+창고(1)+다용도실(1)+가족카페(1),0,3,2,1,연천군보건의료원,최병용,031-839-4165,,"치매조기검진, 치매치료비지원, 치매예방관리사업 등",031-839-4065,경기도 연천군 보건의료원,2021-11-08,4140000,경기도 연천군
